meeting_id,project_id,type_id,meeting_date,meeting_year,location,start_time,end_time,action_taken,status,approved_by_council_date,doc_ref_code,filename,notes,location_id
11,1,1,2021-01-27,2021,Village of Estero Council Chambers,9:30 AM,12:45 PM,"Approved to permit | Approved Resolution No. 2021- 01. Village | A dopted the Land Development Code Ordinance 2020- 10 and Official Zoning Map as amended in the “Addendum of Recommended Changes ” document dated January 19, 2021 as well as the addition of a sentence to Table 3- 405.C that states “A stand -alone car wash which has applied but has not been determined to be complete for an application for Development Order prior to January 27, 2021, and which submits a complete application for Development Order prior to April 27, 2021, a permitted use and not a special exception use shall apply.”",Accepted,null,td/CS,01272021 minutes.pdf,null,null
12,1,1,2021-01-06,2021,Village of Estero Council Chambers,9:30 AM,10:26 AM,Estero Chamber of Commerce approval of financial support for Strategic Plans for Future Growth and Impact . | Passed first reading of Ordinance No. 2020- 11 and schedule second reading/ | Passed first reading of Ordinance No. 2021- 01 and schedule second reading/ | Approved m otion for a continuance until February 3 with the goal of making a final decision . | A dopted Ordinance 2020- 07.,Accepted,null,td/SS,0162021 Minutes.pdf,null,null
13,1,1,2023-02-15,2023,Village of Estero Council Chambers,9:30 AM,null,"Passed first reading of Zoning Ordinance 2023- 01 and set seco nd reading for February 15, 2023. Village",Accepted,null,td/CS,02012023 minutes.pdf,null,null
14,2,1,2022-02-16,2022,Village of Estero Council Chambers,9:30 AM,null,"Adopted Resolution No. 2022- 02. | Approve d the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Pro ject as follows: Number Village | Approve d the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 – Johnson Engineering, Inc.; Number 2 – Tetra Tech, Inc. ; Number 3 – CW3 Engineering, Inc.; Number 4 – JR Evans Engineering, P.A., and authorize | Approve d the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 – Tetra Tech, Inc.; Number 2 – Johnson Engineering, Inc.; Number 3 – CW3 Engineering, Inc .; Number 4 – JR Evans Engineering, P.A., and authorize",Accepted,null,td/CS,02022022 minutes.pdf,null,null
15,1,1,2025-02-19,2025,Village of Estero Council Chambers,9:30 AM,11:08 AM,"Approved Resolution No. 2025- 01 to reappoint two (2) Planning, Zoning, and Design Board members for a one -year term. | Adopted Ordinance No. 2024- 14 with",Accepted,null,td/CS,02052025.pdf,null,null
16,3,1,2024-02-21,2024,Village of Estero Council Chambers,9:30 AM,null,"Approve d schedule for Planning Zoning and Design Board appointments. Village | Adopted Resolution No. 2024- 03. Vote : (Roll Call) Aye: | Approve d EC 2024- 06 STA - 02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approve d EC 2024- 06 STA -03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approve d EC 2019- 66 STA -42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero Parkway, approve a $23,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on Village | Approve d EC 2024- 06 STA - 01 in the amount of $59,000 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Corkscrew Road Pathway Improvements Project, approve a $5,900 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero",Accepted,null,td/CS,02072024 minutes.pdf,null,null
17,1,1,2016-03-16,2016,Village of Estero Council Chambers,10:00 AM,null,"Appointed Robert King as Village CAC Representative to MPO. | Accepted the letter of resignation from Jeffrey Mass dated January 12, 2016 and directed the Village Clerk to advertise the vacancy and solicit applications. | Adopted Resolution 2016-05 as amended. | Authorized the Mayor to sign the letter and approved and endorsed the white paper entitled ""Caloosahatchee Watershed Regional Water Management Issues."" | Adopted Resolution No. 2016-04.",Accepted,null,null,021016 Council Regular Meeting Approved Minutes.pdf,null,null
18,1,1,2022-02-16,2022,Village of Estero Council Chambers,9:30 AM,null,Approve d the 2021- 2022 Interlocal Agreement between Village of Estero and Lee County for Stray Animal Control Services.,Accepted,null,td/CS,02162022 minutes.pdf,null,null
19,1,1,2024-02-21,2024,Village of Estero Council Chambers,9:30 AM,10:50 AM,"Approve da perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero | P assed first reading of Ordinance No. 2024- 03 and set second reading for March 6, 2024. Vote : (Roll Call) Aye:",Accepted,null,td/CS,02212024 minutes.pdf,null,null
20,1,1,2021-02-24,2021,Village of Estero Council Chambers,9:30 AM,11:14 AM,Approve d Resolution No. 2021- 02 and authorize the Village to modify the Resolution if needed.,Accepted,null,td/CS,02242021 minutes.pdf,null,null
21,3,1,2021-03-03,2021,Village of Estero Council Chambers,9:30 AM,11:17 AM,"Approved to permit | Denied request to amend the zoning for the Estero Town Center CPD for a Firestone Complete Auto C are, and adopt Ordinance 2020- 09. | Approved the Williams Road Bicycle and Pedestrian Improvements – Concept Design contract with Banks Engineering under Supplemental Task Authorization (STA) – 01 Contract EC 2020- 56 Miscellaneous Professional Services to perform a suite of desi gn services for the Bicycle & Pedestrian improvements along Williams Road, betwe en US 41 and Village | Approved Ben Hill Griffin Parkway Preliminar y Landscape Design contracts with Bruce Howard and Associates under EC2020- 42 and RWA Engineering under EC2020- 67 to perform a suite of design services for the proposed landscape improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Pa rkway, a pprove a 10% contingency for additional services that may be r equired to complete the project, and Authorize the Village Manager to sign the Supplemental Task Authorization (STA) and other additional implementing documents within the scope of the S TAs on behalf of the Village of Estero",Accepted,null,td/CS,0232021 minutes.pdf,null,null
22,1,1,2023-03-15,2023,Village of Estero Council Chambers,9:30 AM,null,"A pprove s Supplemental Task Authorization (STA) -34 under contract EC 2019- 06 to P & T Lawn and Tractor Service, Inc. to construct and install a monument sign on US 41 at a total cost of $69,968, approve a contingency fund amount of $7,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero | A pproved Ordinance No. 2023 -02 the recommended changes made by the P lanning Zoning and Design Board. Village",Accepted,null,td/CS,03012023 minutes.pdf,null,null
23,1,1,2024-03-20,2024,Village of Estero Council Chambers,9:30 AM,11:45 AM,"Approve d EC 2024- 26 in the amount of $1,967,667 for Hellas Construction, Inc. to install artificial turf on The Jeff Sommer Stadium football field, approve a $197,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | A pprove d the attached Professional Services agreement with Vieste, LLC. | P assed first reading of Ordinance No. 2024- 01 and set second reading for March 20, 2024. | P assed first reading of Ordinance No. 2024- 02 and set second reading for March 20, 2024. | P assed first reading of Ordinance No. 2024- 04 and set second reading for March 20, 2024. | A dopted Ordinance No. 2024- 03 subject to changing the word enforcement to compliance .",Accepted,null,td/CS,03062024 minutes.pdf,null,null
24,1,1,2016-04-06,2016,Village of Estero Council Chambers,10:00 AM,null,"Approved continuing to a date certain, March 23, 2016.",Accepted,null,null,030916 Zoning Hearing Approved Minutes.pdf,null,null
133,1,1,2015-12-11,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,121115 Workshop Approved Minutes.pdf,null,null
25,2,1,2022-04-06,2022,Village of Estero Council Chambers,9:30 AM,11:12 AM,"Approved initiation of a rezoning and Comprehensive Plan Amendme nt for property south of Estero River, East of US 41 and north of Corkscrew Road . | Approve d the purchase of the 10- acre vacant parcel, commonly known as “River Oaks” at the east end of Broadway Avenue. | Approve d First Addendum to Peoples Gas System, Inc. “(TECO)” Franchise Agreement Ordinance 2021 -09. | Approve d the contract with Atkins North Amer ica to provide design and permitting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project in the amount of $671,513.25, approve a contingency fund amount of $67,000 (an amount equal to 10% of the total project cost) to cove r unforeseen circumstances which may occur, and authorize the Vi llage Manager to execute t he contract with Atkins North America and Village",Accepted,null,td/CS,03162022 minutes.pdf,null,null
26,3,1,2022-04-06,2022,Village of Estero Council Chambers,9:30 AM,11:12 AM,"Approved initiation of a rezoning and Comprehensive Plan Amendme nt for property south of Estero River, East of US 41 and north of Corkscrew Road . | Approve d the purchase of the 10- acre vacant parcel, commonly known as “River Oaks” at the east end of Broadway Avenue. | Approve d First Addendum to Peoples Gas System, Inc. “(TECO)” Franchise Agreement Ordinance 2021 -09. | Approve d the contract with Atkins North Amer ica to provide design and permitting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project in the amount of $671,513.25, approve a contingency fund amount of $67,000 (an amount equal to 10% of the total project cost) to cove r unforeseen circumstances which may occur, and authorize the Vi llage Manager to execute t he contract with Atkins North America and Village",Accepted,null,td/CS,03162022 minutes.pdf,null,null
27,1,1,2015-03-17,2015,Village of Estero Council Chambers,6:30 PM,null,No action found,Accepted,null,null,031715 Regular Meeting Minutes.pdf,null,null
28,1,1,2021-03-24,2021,Village of Estero Council Chambers,9:30 AM,10:26 AM,"Elected Vice Mayor Errington to be Mayor. Village | Approved Resolution 2021-04. | Authorized the M ayor to provide letters to our legislative deleg ation on several issues of local government preemption that are being considered by the legislature, one being building design standards preemption, the other being the comprehensive plan language in S enate Bill 284, and the language in House Bill 403, which is the home-based business preemption.",Accepted,null,td/CS,03172021 minutes.pdf,null,null
29,1,1,2015-03-20,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,032015 Workshop Minutes.pdf,null,null
30,1,1,2024-04-03,2024,Village of Estero Council Chambers,9:30 AM,11:19 AM,"Approve d EC 2023- 38 STA -02 in the amount of $203,782 for Hagerty Consulting, Inc. to assist the Village of Estero in preparing and submitting CDBG -DR Infrastructure Grant applications, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approve d EC 2024- 27 Chris -Tel Construction Piggyback Agreement for Construction Manager at Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary. | Approve d EC 2024- 28 Manhattan Construction Piggyback Agreement for Construction Manager at Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary. | Adopted Ordinance No. 2024- 01. | Adopted Ordinance No. 2024- 02. | Adopted Ordinance No. 2024- 04.",Accepted,null,td/CS,03202024 minutes.pdf,null,null
31,3,1,2016-04-20,2016,Village of Estero Council Chambers,10:00 AM,null,"Adopted Ordinance No. 2016-02 as amended. | Accepted all submissions, appointed the Village Manager, Finance | Accepted all submissions, appointed the Village Manager, Finance Director and Community Development Director as the interview committee, directed the committee to interview each firm (these would be posted and | Awarded the bid to ProAudio Services with the recommended add-ons. | Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway. | Approved commencing",Accepted,null,null,032316 Council Meeting Approved Minutes.pdf,null,null
32,1,1,2015-03-27,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,03272015 minutes.pdf,null,null
33,1,1,2016-05-04,2016,Village of Estero Council Chambers,10:00 AM,null,Passed first reading and transmittal of Ordinance No. 2016-04.,Accepted,null,null,033016 Council Meeting Approved Minutes.pdf,null,null
34,1,1,2025-04-16,2025,Village of Estero Council Chambers,9:30 AM,10:55 AM,"Adopted Resolution No. 2025- 06. | A dopted the First Amendment . | A uthorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub . | A pprove d award of Contract EC 2022- 33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes. Vote : (Roll Call) Aye: | A pprove d the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement . | Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025.",Accepted,null,td/CS,04022025.pdf,null,null
35,1,1,2024-04-17,2024,Village of Estero Council Chambers,9:30 AM,11:19 AM,"Selected Al Paivandy, James E Tatooles, and Leonard E Scotty Wood III to a one -year term to the Planning, Zoning, and Design Board members, Dan Williams, Anthony Gargano, and Michael Sheeley to a three -year term to the Planning Zoning and Design Board and approve Resolution No. 2024- 04. Vote : (Roll Call) Aye: | Selected Anthony Gargano as Chairperson of the Planning Zoning and Design Board. | Approve d the Framework of Cooperation Between the Village of Estero and the Estero Forever Foundation. | Approve d EC 2024- 29 Wright Construction Group Piggyback Agreement for Construction Manager At Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary. | Approve d EC 2019- 66 STA -44 in the amount of $57,500 with P & T Lawn & Tractor to relocated twelve palm trees at Jeff Sommer Stadium, approve a $5,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approved EC 2022-38 STA-13 in the amount of $175,486 with Johnson Engineering to perform construction site inspections for all projects within the Village of Estero, approve a $17,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero",Accepted,null,td/CS,04032024 minutes.pdf,null,null
36,1,1,2023-04-19,2023,Village of Estero Council Chambers,9:30 AM,null,A dopted Resolution No. 2023- 07. Village | A dopted Resolution No. 2023- 08.,Accepted,null,td/CS,04052023 minutes.pdf,null,null
37,1,1,2015-04-06,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,040615 Regular Meeting Minutes.pdf,null,null
38,2,1,2022-04-20,2022,Village of Estero Council Chambers,9:30 AM,11:10 AM,"Adopted Resolution 2022- 03 which approves the updated Multijurisdictional Program for | Approve d final P lat for Estero Crossing . | Approve d final Pla t for Rivercreek Phase One (formerly known as Corkscrew Crossing) . | Approve d Resolution No. 2022- 05 to purchase the 10- acre vacant parcel, commonly known as “River Oaks” at the east end of Broadway Avenue. | Approved Resolution No. 2022- 06 Commercial Contract for the Purchase of Real Estate from Gess Family Partnership + Gulf Coast Driving Range LLC, Located at 9000 Wi lliams Road, Estero, Florida . | Approved the following list of short -listed firms listed below. Delegate authority to",Accepted,null,td/CS,04062022 minutes.pdf,null,null
39,1,1,2015-04-07,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,040715 Workshop Minutes.pdf,null,null
40,1,1,2021-04-21,2021,Village of Estero Council Chambers,9:30 AM,12:02 PM,"Approved Resolution 2021- 10. | Approved Resolution 2021- 12. | Approve d award of Request for Bids No. RFB 2021- 02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, ap prove a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and a uthorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero Counci l. | Approve d award of Supplemental Task Authorization ( STA) – 02 Contract EC 2020- 61 to KCA under the Village’s Misc. Service Contract CN 2020- 01 in the amount of $469,099, approve a contingency fund amount of $47,000 (an amount equal to 10% of the total project cost) to cover unforesee n circumstances which ma y occur, and a uthorize the Village Manager to execute the STA and any other related ancillary documents on behalf of the Village of Estero | Approve d award of Supplemental Task Authorization (STA) 06 to Contract EC 2020- 48 to CW3 Engineering under the Village’s Misc. Service Contract CN 2 020-01 in the amount of $54,000, approve a contingency fund amount of $5,400 (an amount equal to 10% of the total project cost) to cover unforesee n circumstances which may occur, and a uthorize the Village Manager to execute the STA and any other related ancillary documents on behalf of the Village of Estero | Approve d award of Suppl emental Task Authorization 06 to Contract EC 2020- 32 to Johnson Engineering to provide water monitoring services for The Village of Estero for $41,352, a pprove a 10% contingency for additional services that may be required to complete the project, and a uthorize the Village Manger to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero",Accepted,null,td/CS,04072021 minutes.pdf,null,null
41,1,1,2015-04-10,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,041015 Workshop Minutes.pdf,null,null
42,1,1,2022-04-13,2022,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,td/CS,04132022 minutes.pdf,null,null
43,1,1,2015-04-17,2015,Village of Estero Council Chambers,9:30 AM,null,No action found,Accepted,null,null,04172015 minutes.pdf,null,null
44,2,1,2024-05-01,2024,Village of Estero Council Chambers,9:30 AM,11:03 AM,"Approved EC 2024- 06 STA -05 in the amount of $81,000 with Florida Acquisition & Appraisal, Inc. to assist the Village in obtaining easement and property required to construction the Broadway Ave East UEP Areas 2 & 3, approve a $8,100 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approve d the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and authorize the Village Manager to execute the agreement on behalf of the Village | Approve d continuance to May 1, 2024.",Accepted,null,td/CS,04172024 minutes.pdf,null,null
45,1,1,2023-05-03,2023,Village of Estero Council Chambers,9:30 AM,11:25 AM,"Adopted Resolution No. 2023- 09. | A pproved the award of Supplemental Task authorization 04 to Contract EC 2023- 38 to Johnson Engineering, Inc. for the Phase 1 Estero Parkway Reuse Ma in Design, Permit and Grant Funding Assistance at a cost of $89,858.00, approve a $9,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional impleme nting documents within the scope of the STA on behalf of the Village of Estero | Approv ed the consultants ranking f or Williams Road Widening Preliminary Design and Engineering P roject as follows: Number 1 – Kisinger Campo & Associates; Number 2 – Village | Approv ed the revised Hagerty Consulting, Inc. contract and a uthorize the Village Manager to execute the contract document on behalf of the Village of Estero",Accepted,null,td/CS,04192023  minutes.pdf,null,null
46,1,1,2016-05-18,2016,Village of Estero Council Chambers,9:30 AM,null,"Accepted Roger Strelow's resignation, with thanks from the",Accepted,null,null,042016 Council Meeting Approved Minutes.pdf,null,null
47,3,1,2022-04-20,2022,Village of Estero Council Chambers,9:30 AM,null,"Adopted Resolution No. 2022- 08 to purchas e the 10 -acre vacant parcel, commonly known as “River Oaks” at the east end of Broadway Avenue. | Amendme nt One to Contract No. EC 2020- 31 for Estero on the River Structure Demolition and updating contract to keep structure #6, the bomb shelter . | Approve d the contract EC 2020- 48 STA 10 with CW3 Engineering to provide de sign and permitting services for the Williams Road Bicycle/Pedestrian Improvements Project in the amount of $358,790, approve a contingency fund amount of $36,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which ma y occur, and authorize the Vill age Manager to execute the contract with CW3 Engineering and any other related ancillary documents on behalf of the Village | Approve d Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020- 42 STA - 07 and CW3 Engineering under EC2020- 48 STA - 09 to perform landscape architecture and engineering ser vices for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway.",Accepted,null,td/CS,04202022 minutes.pdf,null,null
48,1,1,2015-04-24,2015,Village of Estero Council Chambers,10:00 AM,null,No action found,Accepted,null,null,04242015 minutes.pdf,null,null
49,1,1,2024-05-15,2024,Village of Estero Council Chambers,9:30 AM,12:35 PM,"Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by | Approve d Construction Manager at Risk agreement between Village of Estero and Chris -Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by | Approve d of the attached Resolution will give credibility to the Village of Estero interest in this acquisition. It can also be used as the necessary financial match for Federal and State grants. | Adopted Resolution No. 2024- 07. | Approved Resolution No. 2024- 08 authorizing the Village Manager to perform various duties including accepting and authorizing CDBG -DR grants from HUD and administered by Lee County. | Approved Resolution No. 2024- 09 Excessive Force Policy.",Accepted,null,td/CS,05012024 minutes.pdf,null,null
129,1,1,2025-12-03,2025,Village of Estero Council Chambers,9:30 AM,10:21 AM,Adopted Resolution No. 2025- 27. | Adopted Resolution No. 2025- 28. | Adopted Resolution No 2025- 24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process. | Adopted Resolution No. 2025- 25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process. | Adopted Ordinance No. 2025- 16 on first reading and to schedule a second reading and | Adopted Ordinance No. 2025- 13.,Accepted,null,td/CS,12032025.pdf,null,null
50,1,1,2022-05-04,2022,Village of Estero Council Chambers,9:30 AM,10:57 AM,"Approve Misc. Contractor Services contract EC 2019- 66 STA 21 with P & T Lawn & Tractor Services for $109,872 to replace trees along US 41 and provide additional landscape maintenance work on medians 22- 24, approve a contingency fund amount of $11,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execu te the contract documents on behalf of the Village of Estero | Approve d Misc. Contractor Services contract EC 2019 -59 STA 08 with Cougar Contracting, LLC for $52,815 for the repair of sidewalks along Vi a Coconut Point and Williams Road, approve a contingency fund amount of $5,300 (an amount e qual to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beha lf of the Village of Estero | Approve d Resolution No. 2022- 07 which a mends Resolution No. 2015- 68. | Passed first reading of Ordinance 2022- 02 and set second reading for May 18, 2022.",Accepted,null,td/CS,05042022 minutes.pdf,null,null
